sumber,bab,pasal,ayat,tahun_terbit,status,chunk_index,kategori,page_content
Peraturan_Akademik_2023,1,1,20,2023,berlaku,20,ketentuan umum,"Transfer kredit (Credit Transfer) adalah transfer/konversi SKS mata kuliah yang diperoleh dari luar program studinya, yang direncanakan dan secara sistematis tercantum dalam kurikulum program studi tersebut, yang dapat diambil baik di dalam maupun di luar UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,1,1,21,2023,berlaku,21,ketentuan umum,"Pertukaran mahasiswa (Student Exchange) adalah kegiatan pertukaran mahasiswa UPN “Veteran” Jawa Timur dengan perguruan tinggi lain baik di dalam maupun luar negeri meliputi kegiatan akademik dan/ atau seni yang didasarkan kesepakatan kedua belah pihak,"
Peraturan_Akademik_2023,1,1,22,2023,berlaku,22,ketentuan umum,"Twinning Program adalah pengembangan program studi yang sama antara UPN “Veteran” Jawa Timur dengan perguruan tinggi dari dalam maupun luar negeri dengan cara melakukan sinkronisasi kurikulum kedua program studi dalam rangka menyelenggarakan proses pembelajaran bersama,"
Peraturan_Akademik_2023,1,1,23,2023,berlaku,23,ketentuan umum,"Joint Program adalah suatu program penyelenggaraan pendidikan tinggi yang dilaksanakan berdasarkan kerjasama antar fakultas atau dengan perguruan tinggi lain di dalam atau luar negeri dengan tujuan untuk penyetaraan atau pengakuan program. Joint Program dapat menghasilkan gelar dari dual program, yang merupakan hasil dari program double degree atau joint degree,"
Peraturan_Akademik_2023,1,1,24,2023,berlaku,24,ketentuan umum,"Double Degree adalah gelar ganda yang diperoleh dari UPN “Veteran” Jawa Timur dan dari perguruan tinggi di Indonesia atau perguruan tinggi lain di luar negeri dalam rangka kerjasama pengembangan suatu program studi dan diberikan 2 (dua) ijazah,"
Peraturan_Akademik_2023,1,1,25,2023,berlaku,25,ketentuan umum,Joint Degree adalah gelar yang diperoleh dari UPN “Veteran” Jawa Timur bersama perguruan tinggi di Indonesia atau perguruan tinggi lain di luar negeri dalam rangka kerjasama pengembangan suatu program studi dan diberikan 1 (satu)
Peraturan_Akademik_2023,1,1,26,2023,berlaku,26,ketentuan umum,"Program Studi di Luar Kampus Utama UPN “Veteran” Jawa Timur yang selanjutnya disingkat PSDKU UPN “Veteran” Jawa Timur adalah program studi yang diselenggarakan di kabupaten/kota/kota administrative yang tidak berbatasan langsung dengan kampus utama UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,1,1,27,2023,berlaku,27,ketentuan umum,"Status ganda adalah kedudukan seorang mahasiswa dalam suatu kurun waktu tertentu, memiliki status terdaftar sebagai mahasiswa pada dua atau lebih program studi reguler di Perguruan Tinggi Negeri (PTN),"
Peraturan_Akademik_2023,1,1,28,2023,berlaku,28,ketentuan umum,"Registrasi administratif adalah suatu kegiatan yang dilaksanakan oleh mahasiswa untuk memperoleh status terdaftar di universitas,"
Peraturan_Akademik_2023,1,1,29,2023,berlaku,29,ketentuan umum,"Registrasi akademik adalah kegiatan mendaftarkan diri sebagai peserta kuliah, praktikum, ujian dan/ atau kegiatan akademik lainnya pada program studi dengan mengambil mata kuliah yang ditawarkan pada semester yang bersangkutan dengan mengisi Kartu Rencana Studi (KRS) secara online,"
Peraturan_Akademik_2023,1,1,30,2023,berlaku,30,ketentuan umum,"Kartu Rencana Studi yang selanjutnya disingkat KRS adalah rencana kegiatan akademik yang akan dilakukan oleh seorang mahasiswa selama semester tertentu,"
Peraturan_Akademik_2023,1,1,31,2023,berlaku,31,ketentuan umum,"Semester adalah satuan proses pembelajaran efektif selama paling sedikit 16 (enam belas) minggu termasuk evaluasi Tengah Semester dan evaluasi Akhir Semester,"
Peraturan_Akademik_2023,1,1,32,2023,berlaku,32,ketentuan umum,"Satuan Kredit Semester yang selanjutnya disingkat SKS adalah takaran waktu kegiatan belajar yang dibebankan pada mahasiswa per minggu, per semester dalam proses pembelajaran melalui berbagai bentuk pembelajaran atau besarnya pengakuan atas keberhasilan usaha mahasiswa dalam mengikuti kagiatan kurikuler di suatu program studi,"
Peraturan_Akademik_2023,1,1,33,2023,berlaku,33,ketentuan umum,"Beban studi adalah jumlah SKS yang wajib ditempuh mahasiswa untuk memenuhi persyaratan memperoleh gelar,"
Peraturan_Akademik_2023,1,1,34,2023,berlaku,34,ketentuan umum,"Masa studi adalah batas untuk menyelesaikan beban studi dalam mengikuti proses pendidikan pada program studinya,"
Peraturan_Akademik_2023,1,1,35,2023,berlaku,35,ketentuan umum,"Indeks Prestasi Semester yang selanjutnya disingkat IPS adalah ukuran prestasi akademik mahasiswa yang merupakan nilai rata-rata tertimbang dari nilai yang diperoleh mahasiswa tiap semester,"
Peraturan_Akademik_2023,1,1,36,2023,berlaku,36,ketentuan umum,"Indeks Prestasi Kumulatif yang selanjutnya disingkat IPK adalah ukuran kemampuan mahasiswa sampai pada periode waktu tertentu yang diperoleh mahasiswa,"
Peraturan_Akademik_2023,1,1,37,2023,berlaku,37,ketentuan umum,"Kartu Hasil Studi yang selanjutnya disingkat KHS adalah kartu yang memuat nilai-nilai mata kuliah, indeks prestasi pada semester berjalan dan perolehan seluruh SKS yang telah dikumpulkan serta IPK,"
Peraturan_Akademik_2023,1,1,38,2023,berlaku,38,ketentuan umum,"Kuliah Kerja Nyata yang selanjutnya disingkat KKN adalah kegiatan akademik pada program pendidikan sarjana yang bersifat kurikuler dan interdisipliner dengan tujuan untuk mengidentifikasi dan membantu memecahkan permasalahan masyarakat dengan mengutamakan pemberdayaan masyarakat,"
Peraturan_Akademik_2023,1,1,39,2023,berlaku,39,ketentuan umum,"Tugas akhir adalah suatu bentuk karya ilmiah berupa skripsi maupun bentuk lain sesuai dengan ketentuan yang berlaku, yang menjadi salah satu syarat kelulusan seorang mahasiswa yang ditetapkan berdasarkan kurikulum program studi,"
Peraturan_Akademik_2023,1,1,40,2023,berlaku,40,ketentuan umum,Prototype adalah sebagai tahapan untuk mentransformasi dari sebuah ide menjadi bentuk yang lebih berwujud.
Peraturan_Akademik_2023,1,1,41,2023,berlaku,41,ketentuan umum,"Yudisium adalah penetapan kelulusan seorang mahasiswa yang telah memenuhi persyaratan kurikulum program studi di tingkat fakultas,"
Peraturan_Akademik_2023,1,1,42,2023,berlaku,42,ketentuan umum,"Upacara wisuda adalah bentuk upacara akademik yang diselenggarakan dalam forum rapat senat terbuka universitas guna melantik lulusan,"
Peraturan_Akademik_2023,1,1,43,2023,berlaku,43,ketentuan umum,"Ijazah adalah dokumen pengakuan prestasi belajar dan/atau penyelesaian suatu jenjang pendidikan tinggi setelah lulus ujian yang diselenggarakan oleh perguruan tinggi,"
Peraturan_Akademik_2023,1,1,44,2023,berlaku,44,ketentuan umum,Sertifikat kompetensi adalah dokumen pengakuan kompetensi atas prestasi lulusan yang sesuai dengan keahlian dalam cabang ilmunya dan/atau memiliki prestasi di luar program studinya:
Peraturan_Akademik_2023,1,1,45,2023,berlaku,45,ketentuan umum,"Surat Keterangan Pendamping Ijazah yang selanjutnya disingkat SKPI adalah dokumen yang memuat informasi tentang pencapaian akademik atau kualifikasi dari lulusan pendidikan tinggi bergelar,"
Peraturan_Akademik_2023,1,1,46,2023,berlaku,46,ketentuan umum,"Surat keterangan pengganti ijazah, sertifikat kompetensi, dan sertifikat profesi adalah dokumen pernyataan yang dihargai sama dengan ijazah, sertifikat kompetensi, dan sertifikat profesi."
Peraturan_Akademik_2023,1,1,47,2023,berlaku,47,ketentuan umum,"Aktif adalah mahasiswa melakukan registrasi administratif dan registrasi akademik serta aktif melakukan kegiatan perkuliahan,"
Peraturan_Akademik_2023,1,1,48,2023,berlaku,48,ketentuan umum,"Tidak aktif adalah mahasiswa tidak melakukan registrasi administratif dan/ atau registrasi akademik,"
Peraturan_Akademik_2023,1,1,49,2023,berlaku,49,ketentuan umum,"Cuti akademik adalah tidak melakukan kegiatan akademik selama 1 (satu) atau selama-lamanya 2 (dua) semester yang tidak berturut-turut dengan persetujuan Dekan karena keinginan mahasiswa,"
Peraturan_Akademik_2023,1,1,50,2023,berlaku,50,ketentuan umum,"Mendapatkan sanksi adalah akibat dari pelanggaran akademik sehingga mahasiswa tidak diizinkan mengikuti kegiatan akademik selama satu atau beberapa semester berdasarkan rekomendasi dari tim penyelesaian pelanggaran akademik dan ditetapkan dengan Keputusan Rektor UPN “Veteran"" Jawa Timur,"
Peraturan_Akademik_2023,1,1,51,2023,berlaku,51,ketentuan umum,"Pindah studi (transfer) adalah perubahan status mahasiswa dari satu program studi ke program studi lain dalam UPN “Veteran” Jawa Timur, atau keluar dari UPN “Veteran” Jawa Timur maupun pindahan dari PTN dari dalam maupun luar negeri ke UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,1,1,52,2023,berlaku,52,ketentuan umum,"Undur diri, adalah hak setiap mahasiswa untuk melepaskan statusnya sebagai mahasiswa UPN “Veteran” Jawa Timur yang ditetapkan dengan Keputusan Rektor UPN “Veteran” Jawa Timur setelah yang bersangkutan mengajukan permohonan secara tertulis kepada Dekan,"
Peraturan_Akademik_2023,1,1,53,2023,berlaku,53,ketentuan umum,"Putus studi/ Drop Out (DO) adalah suatu kondisi seorang peserta didik dimana yang bersangkutan tidak mampu memenuhi persyaratan minimal untuk melanjutkan studi, baik karena alasan akademik dan/atau non-akademik,:"
Peraturan_Akademik_2023,1,1,54,2023,berlaku,54,ketentuan umum,"Meninggal dunia adalah tidak melanjutkan studi karena meninggal dunia, berdasarkan surat keterangan/ pemberitahuan dari Dekan,"
Peraturan_Akademik_2023,1,1,55,2023,berlaku,55,ketentuan umum,"Lulus adalah telah memenuhi semua persyaratan akademik dan administratif untuk ditetapkan sebagai sarjana,"
Peraturan_Akademik_2023,1,1,56,2023,berlaku,56,ketentuan umum,"Penyontekan dan/ atau perbuatan curang: adalah perbuatan dengan sengaja atau tidak, menggunakan atau mencoba menggunakan bahan-bahan informasi atau alat bantu studi lainnya tanpa izin dari dosen yang bersangkutan dalam"
Peraturan_Akademik_2023,1,1,57,2023,berlaku,57,ketentuan umum,"Perbantuan atau percobaan perbantuan pelanggaran akademik ringan adalah perbuatan dengan sengaja atau tidak, membantu atau mencoba membantu menyediakan sarana atau prasarana yang dapat menyebabkan terjadinya pelanggaran akademik ringan."
Peraturan_Akademik_2023,1,1,58,2023,berlaku,58,ketentuan umum,"Penyertaan dalam pelanggaran akademik ringan adalah perbuatan dengan sengaja atau tidak, bekerja sama atau ikut serta melakukan atau menyuruh melakukan perbuatan-perbuatan yang menyebabkan terjadinya pelanggaran akademik ringan."
Peraturan_Akademik_2023,1,1,59,2023,berlaku,59,ketentuan umum,"Perjokian adalah perbuatan dengan sengaja atau tidak, menggantikan kedudukan atau melakukan tugas atau kegiatan untuk kepentingan orang lain, atas permintaan orang lain atau kehendak sendiri, dalam kegiatan akademik,"
Peraturan_Akademik_2023,1,1,60,2023,berlaku,60,ketentuan umum,"Perbantuan atau percobaan perbantuan pelanggaran akademik sedang adalah perbuatan dengan sengaja atau tidak, membantu atau mencoba membantu menyediakan sarana atau prasarana yang dapat menyebabkan terjadinya pelanggaran akademik sedang:"
Peraturan_Akademik_2023,1,1,61,2023,berlaku,61,ketentuan umum,"Penyertaan dalam pelanggaran akademik sedang adalah perbuatan dengan sengaja atau tidak, bekerjasama atau ikut serta melakukan atau menyuruh melakukan perbuatan- perbuatan yang menyebabkan terjadinya pelanggaran akademik sedang."
Peraturan_Akademik_2023,1,1,62,2023,berlaku,62,ketentuan umum,"Plagiat adalah perbuatan secara sengaja atau tidak sengaja dalam memperoleh atau mencoba memperoleh kredit atau nilai untuk suatu karya ilmiah, dengan mengutip sebagian atau seluruh karya dan/atau karya ilmiah pihak lain yang diakui sebagai karya ilmiahnya, tanpa menyatakan sumber secara tepat dan memadai,"
Peraturan_Akademik_2023,1,1,63,2023,berlaku,63,ketentuan umum,"Pemalsuan adalah perbuatan secara sengaja atau tidak sengaja, tanpa izin yang berwenang mengganti atau mengubah/ memalsukan simbol (cap), kop surat dan/ atau instrumen pada surat menyurat dalam administrasi akademik, nama, tanda tangan, nilai atau transkrip akademik, ijazah, kartu tanda mahasiswa, tugas-tugas, laporan praktikum, keterangan, atau laporan dalam lingkup kegiatan akademik,"
Peraturan_Akademik_2023,1,1,64,2023,berlaku,64,ketentuan umum,"Gratifikasi dan penyuapan adalah perbuatan secara sengaja atau tidak sengaja, mempengaruhi atau mencoba mempengaruhi orang lain dengan cara membujuk, memberi hadiah atau janji dengan maksud untuk menggerakkan agar dosen atau tenaga kependidikan melakukan atau tidak melakukan sesuatu dalam jabatannya, yang bertentangan dengan kewajibannya,"
Peraturan_Akademik_2023,1,1,65,2023,berlaku,65,ketentuan umum,"Penghinaan adalah perbuatan secara sengaja atau tidak sengaja menyampaikan perkataan, tulisan atau dalam bentuk apapun yang pada pokoknya merendahkan martabat kedudukan sesama mahasiswa, dosen, staf administrasi maupun pejabat di lingkungan UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,1,1,66,2023,berlaku,66,ketentuan umum,"Pelanggaran administrasi dan tata tertib berat adalah perbuatan secara sengaja atau tidak sengaja, baik sendiri maupun kerjasama melakukan perbuatan yang bertentangan dengan ketentuan tata tertib dan administrasi yang dikeluarkan Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Republik Indonesia,"
Peraturan_Akademik_2023,1,1,67,2023,berlaku,67,ketentuan umum,"Perbantuan atau percobaan perbantuan pelanggaran akademik berat adalah perbuatan secara sengaja atau tidak sengaja, membantu atau mencoba membantu menyediakan sarana atau prasarana yang dapat menyebabkan terjadinya pelanggaran akademik berat,"
Peraturan_Akademik_2023,1,1,68,2023,berlaku,68,ketentuan umum,"Penyertaan dalam pelanggaran akademik berat adalah perbuatan secara sengaja atau tidak sengaja, bekerjasama atau ikut serta melakukan atau menyuruh melakukan perbuatan-perbuatan - yang menyebabkan terjadinya pelanggaran akademik berat."
Peraturan_Akademik_2023,2,2,1,2023,berlaku,69,tujuan pendidikan program sarjana dan sarjana terapan,"Program sarjana dan sarjana terapan bertujuan menyiapkan mahasiswa menjadi intelektual, dan ilmuwan yang beretika, berbudaya, berkarakter bela negara, kompeten, berdaya saing global, dan mampu memasuki dan/atau menciptakan lapangan kerja serta mampu mengembangkan diri menjadi profesional,"
Peraturan_Akademik_2023,2,2,2,2023,berlaku,70,tujuan pendidikan program sarjana dan sarjana terapan,"Program sarjana dan sarjana terapan diarahkan untuk menghasilkan lulusan dengan kompetensi utama sesuai dengan profil program studi masing-masing yang disetujui oleh senat fakultas,"
Peraturan_Akademik_2023,2,2,3,2023,berlaku,71,tujuan pendidikan program sarjana dan sarjana terapan,Program sarjana dan sarjana terapan diarahkan untuk menghasilkan lulusan dengan kompetensi sesuai dengan jenjang 6 (enam) dalam KKNI.
Peraturan_Akademik_2023,3,3,1,2023,berlaku,72,penyelenggaraan program sarjana dan sarjana terapan,"Program sarjana dan sarjana terapan diselenggarakan oleh fakultas dalam bentuk program studi yang penyelenggaraannya harus: a. mempunyai izin penyelenggaraan atau memiliki akreditasi yang masih berlaku, b. memenuhi baku mutu menurut sistem penjaminan mutu akademik, c. mempunyai paling sedikit 5 (lima) dosen tetap dengan kualifikasi sesuai dengan peraturan yang berlaku."
Peraturan_Akademik_2023,3,3,2,2023,berlaku,73,penyelenggaraan program sarjana dan sarjana terapan,"Program studi baru harus terakreditasi sesuai dengan ketentuan yang berlaku,"
Peraturan_Akademik_2023,3,3,3,2023,berlaku,74,penyelenggaraan program sarjana dan sarjana terapan,"Akreditasi program studi yang dimaksud pada ayat (2) adalah: a. Terakreditasi BAN-PT dengan status A, B, atau C, b. Terakreditasi BAN-PT dengan status Unggul, Baik Sekali, Baik, c. Terakreditasi BAN-PT dengan status terakreditasi sementara, terakreditasi dan unggul, d. Terakreditasi Internasional oleh lembaga akreditasi internasional yang diakui Kemendikbudristek."
Peraturan_Akademik_2023,3,3,4,2023,berlaku,75,penyelenggaraan program sarjana dan sarjana terapan,"Program sarjana dan sarjana terapan dapat diselenggarakan dalam bentuk kelas reguler, kelas internasional, kelas kerjasama, dan PSDKU,"
Peraturan_Akademik_2023,3,3,5,2023,berlaku,76,penyelenggaraan program sarjana dan sarjana terapan,"Program sarjana dan sarjana terapan kelas internasional hanya dapat diselenggarakan pada program studi yang menyelenggarakan program sarjana kelas reguler terakreditasi/ unggul/ terakreditasi internasional,"
Peraturan_Akademik_2023,3,3,6,2023,berlaku,77,penyelenggaraan program sarjana dan sarjana terapan,"Pembukaan, penutupan, penggabungan, dan penggantian nama program Studi mengikuti ketentuan yang berlaku. Bagian Kedua Kelas Reguler"
Peraturan_Akademik_2023,3,4,1,2023,berlaku,78,penyelenggaraan program sarjana dan sarjana terapan,"Kelas reguler adalah program pendidikan yang diutamakan untuk mendidik lulusan baru (fresh graduate) Sekolah Menengah Atas (SMA) atau yang sederajat,"
Peraturan_Akademik_2023,3,4,2,2023,berlaku,79,penyelenggaraan program sarjana dan sarjana terapan,"Kelas reguler harus menggunakan kurikulum dan menghasilkan lulusan dengan kompetensi utama yang sama,"
Peraturan_Akademik_2023,3,4,3,2023,berlaku,80,penyelenggaraan program sarjana dan sarjana terapan,"Bahasa pengantar utama pada kelas reguler adalah Bahasa Indonesia,"
Peraturan_Akademik_2023,3,4,4,2023,berlaku,81,penyelenggaraan program sarjana dan sarjana terapan,"Program studi wajib menyelenggarakan minimal 1 kelas mata kuliah pada setiap semester dengan pengantar bahasa inggris, untuk meningkatkan kemampuan berbahasa asing sebagai kompetensi pendukung. Bagian Ketiga Kelas Kerjasama"
Peraturan_Akademik_2023,3,5,1,2023,berlaku,82,penyelenggaraan program sarjana dan sarjana terapan,"Kelas kerjasama merupakan program pendidikan yang diselenggarakan atas dasar Memorandum of Understanding (MoU) atau perjanjian kerjasama antara UPN “Veteran” Jawa Timur dengan instansi atau perusahaan lain guna memenuhi kebutuhan Sumber Daya Manusia (SDM) sesuai dengan spesifikasi instansi terkait,"
Peraturan_Akademik_2023,3,5,2,2023,berlaku,83,penyelenggaraan program sarjana dan sarjana terapan,"Kurikulum kelas kerjasama didesain khusus/ spesifik sesuai kebutuhan tanpa meninggalkan ketentuan-ketentuan yang dipersyaratkan oleh Pemerintah/ Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi. Bagian Keempat Kelas Internasional"
Peraturan_Akademik_2023,3,6,1,2023,berlaku,84,penyelenggaraan program sarjana dan sarjana terapan,"Kelas internasional adalah program pendidikan yang diselenggarakan dengan menggunakan Bahasa Inggris sebagai bahasa pengantar,"
Peraturan_Akademik_2023,3,6,2,2023,berlaku,85,penyelenggaraan program sarjana dan sarjana terapan,"Kelas internasional dapat diselenggarakan sepenuhnya oleh universitas dan/atau bekerjasama dengan universitas mitra di luar negeri yang memiliki reputasi internasional minimal setara dengan UPN “Veteran” Jawa Timur dan terakreditasi di negaranya,"
Peraturan_Akademik_2023,3,6,3,2023,berlaku,86,penyelenggaraan program sarjana dan sarjana terapan,"Kelas internasional yang diselenggarakan sepenuhnya oleh UPN “Veteran” Jawa Timur, memberikan gelar tunggal dari universitas,"
Peraturan_Akademik_2023,3,6,4,2023,berlaku,87,penyelenggaraan program sarjana dan sarjana terapan,"Kelas internasional yang diselenggarakan berdasarkan kerjasama dengan universitas mitra di luar negeri dapat memberikan gelar ganda dari UPN “Veteran” Jawa Timur dan dari universitas mitra di Juar negeri,"
Peraturan_Akademik_2023,3,6,5,2023,berlaku,88,penyelenggaraan program sarjana dan sarjana terapan,"Kelas internasional, baik yang memberikan gelar tunggal maupun gelar ganda, harus menggunakan kurikulum paling sedikit 50 (lima puluh) persen yang sama dengan kelas reguler dan menghasilkan lulusan dengan capaian pembelajaran yang sama,"
Peraturan_Akademik_2023,3,6,6,2023,berlaku,89,penyelenggaraan program sarjana dan sarjana terapan,Jumlah peserta kelas internasional tidak boleh lebih besar dari jumlah peserta program sarjana kelas reguler. Bagian Kelima Kelas Program Studi di Luar Kampus Utama (PSDKU)
Peraturan_Akademik_2023,3,7,1,2023,berlaku,90,penyelenggaraan program sarjana dan sarjana terapan,"Pembukaan kelas PSDKU merupakan penambahan jumlah program studi dalam bidang /disiplin ilmu dan teknologi yang sama dengan program studi yang telah ada di kampus utama UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,3,7,2,2023,berlaku,91,penyelenggaraan program sarjana dan sarjana terapan,"Program studi yang akan membuka kelas PSDKU telah menyelenggarakan program studi yang sama di Kampus Utama UPN “Veteran” Jawa Timur dengan peringkat terakreditasi/ unggul/ terakreditasi internasional,"
Peraturan_Akademik_2023,3,7,3,2023,berlaku,92,penyelenggaraan program sarjana dan sarjana terapan,"Pembukaan, perubahan, penutupan kelas PSDKU dilakukan sesuai ketentuan perundangan yang berlaku."
Peraturan_Akademik_2023,4,8,1,2023,berlaku,93,penerimaan mahasiswa program sarjana dan sarjana terapan,"Penerimaan calon mahasiswa baru program sarjana dan sarjana terapan dilakukan melalui jalur seleksi yang dilakukan di tingkat nasional (SNBP & SNBT) dan jalur mandiri UPN “Veteran” Jawa Timur,"
Peraturan_Akademik_2023,4,8,2,2023,berlaku,94,penerimaan mahasiswa program sarjana dan sarjana terapan,"Jalur Mandiri UPN “Veteran” Jawa Timur sebagaimana yang dimaksud pada ayat (1) dilakukan melalui 3 (tiga) pola yaitu: Pola Reguler, Pola Prestasi, dan Pola Kemitraan & Kerjasama,"
Peraturan_Akademik_2023,4,8,3,2023,berlaku,95,penerimaan mahasiswa program sarjana dan sarjana terapan,"Sistem seleksi tersebut pada ayat (1) dapat berbentuk ujian tulis berbasis kertas / Paper Based Test (PBT) atau ujian tulis berbasis computer (UTBK)/ Computer Based Test (CBT) atau cara seleksi lain yang ditetapkan oleh universitas,"
Peraturan_Akademik_2023,4,8,4,2023,berlaku,96,penerimaan mahasiswa program sarjana dan sarjana terapan,Seleksi mahasiswa baru dilakukan sesuai dengan jadwal yang ditetapkan secara nasional dan/atau oleh universitas:
Peraturan_Akademik_2023,4,8,5,2023,berlaku,97,penerimaan mahasiswa program sarjana dan sarjana terapan,Tata cara penerimaan mahasiswa Program Sarjana dan Sarjana Terapan diatur dalam Peraturan Rektor tersendiri. Bagian Kedua Persyaratan Pendaftaran
Peraturan_Akademik_2023,4,9,1,2023,berlaku,98,penerimaan mahasiswa program sarjana dan sarjana terapan,"Calon mahasiswa program sarjana yang akan mendaftar untuk mengikuti proses seleksi harus memenuhi persyaratan sebagai berikut: a. Warga Negara Indonesia (WNI) atau Warga Negara Asing (WNA) yang memperoleh izin belajar dari Kementerian Pendidikan dan Kebudayaan dan menguasai bahasa pengantar yang digunakan di dalam kelas, b.Lulus SMA atau sederajat, atau program paket C yang dibuktikan dengan ijazah yang diakui oleh UPN “Veteran” Jawa Timur, c. Lulusan SMA pada To sampai T-2 atau usia ijazahnya tidak lebih dari 3 (tiga) tahun. d. Sehat jasmani dan rohani e. Memenuhi syarat khusus yang ditentukan oleh prodi yang memberikan syarat khusus."
